"0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+"
0.259304748102102,0.0284816792987237,0.0179564401084409,0.0769117580964962,0.0608860316289112,0.0176194163941247,0.0188465117092149,0.022576342874099,0.022576342874099,0.022576342874099
0.0482291244937657,0.689661036819007,0.0395489858388313,0.0497172074622135,0.197125715308368,0.0667985500941301,0.0133752568181774,0.0535382745029764,0.0535382745029764,0.0535382745029764
0.0695229955903945,0.0904273495588687,0.750720442120014,0.249117106010441,0.224600427554213,0.396104168605702,0.103283842705494,0.16468847600575,0.16468847600575,0.16468847600575
0.184878568996796,0.0705759566888753,0.154663967391587,0.356453179531149,0.257439663955599,0.180739277567993,0.158553507358492,0.162917813997375,0.162917813997375,0.162917813997375
0.126180906625423,0.241254527035629,0.120220441127001,0.221951253615228,0.41595016506805,0.224590069613632,0.0980129243269829,0.189561800206425,0.189561800206425,0.189561800206425
0.0337304222877914,0.0755185270718328,0.195853545571191,0.143942476715668,0.207464997897595,0.304163923640316,0.139776101439529,0.218153404392589,0.218153404392589,0.218153404392589
0.0311189750471408,0.0130422537919869,0.0440472152909331,0.108912148839442,0.0780911247360204,0.120558259101548,0.236605375540248,0.258920554343704,0.258920554343704,0.258920554343704
0.0222621872811765,0.0311770360327544,0.041943939295221,0.0668326964791486,0.090196376628522,0.112368860263801,0.154627403993317,0.269458025291234,0.269458025291234,0.269458025291234
0.0140950240898788,0.0197393485367117,0.0265562780208231,0.0423142818343668,0.0571067022903786,0.071144931644237,0.0979003975087417,0.170603962212756,0.170603962212756,0.170603962212756
0.00384988113561173,0.00539155840218252,0.00725351820135172,0.0115576216374163,0.0155979879468666,0.0194323563042515,0.0267402801963593,0.0465983578031011,0.0465983578031011,0.0465983578031011
